CityID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
87,paciran,0,ID,1532235145,41,-6.9,112.33,95.43,2.62
88,havre-saint-pierre,40,CA,1532232000,87,50.23,-63.6,60.8,4.7
89,iqaluit,20,CA,1532232000,71,63.75,-68.52,50.0,6.93
90,miles city,1,US,1532231580,73,46.41,-105.84,75.2,8.05
91,vestmannaeyjar,92,IS,1532235146,100,63.44,-20.27,48.9,11.23
92,novobelokatay,0,RU,1532235146,61,55.7,58.96,62.4,11.23
93,bambous virieux,40,MU,1532232000,68,-20.34,57.76,71.6,12.75
94,beringovskiy,80,RU,1532235147,100,63.05,179.32,49.89,7.65
95,iwaki,75,JP,1532232000,62,37.05,140.89,89.6,10.29
96,puri,20,ID,1532232000,58,-7.54,112.45,87.8,5.82
97,hamilton,90,CA,1532232000,68,43.26,-79.87,71.6,11.41
98,maningrida,0,AU,1532235148,49,-12.05,134.23,84.81,13.02
99,padang,36,ID,1532235148,100,-0.92,100.36,80.04,4.41
100,lebu,92,ET,1532235148,99,8.96,38.73,56.64,3.74
101,komsomolskiy,0,RU,1532235149,44,67.55,63.78,78.42,14.92
102,labuhan,68,ID,1532235149,76,-2.54,115.51,83.46,3.51
103,kudahuvadhoo,92,MV,1532235149,100,2.67,72.89,76.35,12.46
104,clyde river,90,CA,1532233800,100,70.47,-68.59,35.6,16.11
105,capitao poco,8,BR,1532235149,86,-1.75,-47.06,73.83,4.85
106,mecca,0,SA,1532232000,46,21.43,39.83,89.6,3.96
107,yulara,0,AU,1532232000,13,-25.24,130.99,82.4,14.99
108,east london,0,ZA,1532232000,41,-33.02,27.91,60.8,11.41
109,saint-philippe,1,CA,1532232900,60,45.36,-73.48,75.2,4.7
110,hermanus,0,ZA,1532235150,49,-34.42,19.24,54.93,5.64
111,coquimbo,75,CL,1532232000,87,-29.95,-71.34,50.0,4.7
112,lavrentiya,92,RU,1532235151,92,65.58,-170.99,44.49,11.12
113,port blair,76,IN,1532235151,95,11.67,92.75,83.73,21.52
114,mar del plata,8,AR,1532235151,91,-46.43,-67.52,35.4,15.82
115,souillac,90,FR,1532233800,93,45.6,-0.6,59.0,2.24
116,upernavik,56,GL,1532235152,96,72.79,-56.15,39.27,11.9
117,huarmey,0,PE,1532235152,89,-10.07,-78.15,51.42,2.84
118,lamar,1,US,1532231580,54,38.09,-102.62,82.4,14.99
119,nyurba,92,RU,1532235152,87,63.29,118.35,50.97,7.43
120,andros town,75,BS,1532232000,78,24.73,-77.79,82.4,2.24
121,isangel,92,VU,1532235153,100,-19.55,169.27,73.11,11.45
122,geraldton,90,CA,1532232000,77,49.72,-86.95,60.8,3.36
123,sao joao da barra,8,BR,1532235153,96,-21.64,-41.05,74.55,15.7
124,avera,40,US,1532234100,88,33.19,-82.53,78.8,6.31
125,palmar de bravo,0,MX,1532235154,75,18.84,-97.55,57.54,5.53
126,klaksvik,76,FO,1532233200,100,62.23,-6.59,50.0,11.41
127,bluff,0,AU,1532235154,20,-23.58,149.07,72.39,4.63
128,eucaliptus,92,BO,1532235154,100,-17.6,-67.51,33.51,3.06
129,sola,75,NO,1532233200,93,58.89,5.65,57.2,3.36
130,hilo,90,US,1532234460,83,19.71,-155.08,77.0,10.29
131,kavieng,68,PG,1532235155,100,-2.57,150.8,84.72,10.22
132,camacha,40,PT,1532233800,77,33.08,-16.33,69.8,11.41
133,san patricio,0,PY,1532235155,85,-26.98,-56.83,40.26,4.74
134,dikson,80,RU,1532235156,100,73.51,80.55,42.87,13.24
135,saint-pierre,24,FR,1532233800,93,48.95,4.24,59.0,4.7
136,coihaique,0,CL,1532232000,80,-45.58,-72.07,33.8,9.17
137,faanui,44,PF,1532235157,100,-16.48,-151.75,77.07,11.23
138,marsh harbour,8,BS,1532235157,100,26.54,-77.06,84.09,10.0
139,mandurah,75,AU,1532234220,72,-32.55,115.7,64.4,21.92
140,roma,20,IT,1532233200,73,41.89,12.48,73.4,4.7
141,el monte,1,US,1532231760,69,34.08,-118.04,84.2,4.7
142,hasaki,75,JP,1532232000,70,35.73,140.83,93.2,8.05
143,castro,92,CL,1532235158,100,-42.48,-73.76,34.68,4.63
144,avarua,40,CK,1532232000,83,-21.21,-159.78,77.0,2.24
145,oyama,75,JP,1532232000,49,36.31,139.8,93.2,3.36
146,cabo san lucas,5,MX,1532231400,51,22.89,-109.91,86.0,10.29
147,srednekolymsk,32,RU,1532235159,50,67.46,153.71,57.54,3.18
148,kisanga,0,CD,1532235159,79,-11.72,27.4,53.31,10.67
149,elk city,1,US,1532232900,45,35.41,-99.4,89.6,12.75
150,lengshuitan,24,CN,1532235159,69,26.41,111.6,92.55,5.97
151,shestakovo,32,RU,1532235160,75,56.49,103.96,59.43,3.4
152,vardo,90,US,1532234520,93,39.62,-77.74,62.6,10.29
153,nome,1,US,1532232900,83,30.04,-94.42,82.4,8.05
154,saint george,0,GR,1532233200,77,39.45,22.34,69.8,1.72
155,mackenzie,90,CA,1532232000,77,55.34,-123.09,60.8,2.28
156,skjervoy,68,NO,1532235161,95,70.03,20.97,53.49,7.65
157,dunda,92,IN,1532235161,100,30.62,78.32,64.56,1.83
158,khatanga,64,RU,1532235161,88,71.98,102.47,55.74,16.37
159,bela,0,PK,1532235161,55,26.23,66.31,89.49,3.62
160,yilan,75,TW,1532232660,66,24.75,121.75,91.4,9.17
161,fukue,20,JP,1532232000,66,35.03,136.69,89.6,5.82
162,ambilobe,0,MG,1532235162,50,-13.19,49.05,79.05,12.01
163,northam,0,GB,1532233200,87,51.04,-4.21,62.6,4.7
164,adamovka,64,RU,1532235162,45,51.52,59.94,67.71,20.85
165,touros,92,BR,1532235163,100,-5.2,-35.46,72.57,12.46
166,sitka,48,US,1532235163,44,37.17,-99.65,83.01,12.91
167,gizo,20,IL,1532233200,69,31.8,34.94,78.8,8.05
168,skibbereen,75,IE,1532232000,93,51.55,-9.27,60.8,6.93
169,stadtallendorf,75,DE,1532233200,82,50.83,9.02,62.6,3.36
170,moorhead,1,US,1532232900,93,46.87,-96.75,66.2,4.7
171,ilhabela,92,BR,1532235164,100,-23.78,-45.36,68.79,12.68
172,gat,0,SN,1532235164,93,14.69,-16.54,73.83,6.08
173,charyshskoye,100,RU,1532235164,58,51.4,83.56,71.85,2.39
174,sao filipe,8,CV,1532235164,100,14.9,-24.5,74.64,12.68
175,parabel,48,RU,1532235165,51,58.71,81.5,63.57,11.45
176,kavaratti,76,IN,1532235165,99,10.57,72.64,81.66,23.87
177,port alfred,0,ZA,1532235165,61,-33.59,26.89,67.26,11.01
178,grover beach,90,US,1532233980,100,35.12,-120.62,68.0,5.82
179,port augusta,40,AU,1532232300,27,-32.49,137.76,62.6,25.28
180,elizabeth city,1,US,1532233200,88,36.3,-76.22,77.0,6.42
181,shimoda,75,JP,1532232000,79,34.7,138.93,87.8,14.99
182,esperance,20,TT,1532232000,83,10.24,-61.45,78.8,4.41
183,bethel,40,US,1532231580,53,60.79,-161.76,71.6,6.93
184,zamora,0,ES,1532233800,93,41.51,-5.74,51.8,10.45
185,xichang,64,CN,1532235167,82,27.88,102.25,68.07,1.72
186,kungurtug,92,RU,1532235167,100,50.6,97.53,51.78,3.4
187,dong xoai,88,VN,1532235168,87,11.53,106.92,82.38,11.01
188,airai,76,TL,1532235168,61,-8.93,125.41,78.06,1.83
189,charters towers,0,AU,1532235168,72,-20.07,146.27,72.12,5.41
190,colombia,36,CO,1532235168,78,3.38,-74.8,68.43,2.62
191,pacific grove,90,US,1532234100,100,36.62,-121.92,62.6,3.36
192,mantua,20,IT,1532233200,88,45.16,10.79,66.2,2.24
193,koping,32,SE,1532233200,77,59.51,15.99,62.6,9.17
194,fortuna,40,ES,1532233800,83,38.18,-1.13,77.0,5.82
195,half moon bay,90,US,1532234400,93,37.46,-122.43,73.4,3.36
196,guaiba,0,BR,1532232000,93,-30.11,-51.33,46.4,4.7
197,namibe,0,AO,1532235170,98,-15.19,12.15,66.36,7.2
198,cabinda,76,AO,1532235170,100,-5.56,12.19,71.31,6.42
199,mount gambier,8,AU,1532235170,68,-37.83,140.78,56.64,11.01
200,dandong,0,CN,1532235171,59,40.12,124.37,89.31,5.86
201,mendoza,0,AR,1532232000,49,-32.89,-68.84,48.2,8.05
202,nizip,0,TR,1532233200,34,37.01,37.79,80.6,10.29
203,kazerun,36,IR,1532234934,19,29.62,51.65,96.33,2.95
204,oistins,40,BB,1532232000,69,13.07,-59.53,80.6,18.34
205,auki,68,NG,1532235171,97,12.18,6.51,69.87,7.65
206,rocha,0,UY,1532235172,77,-34.48,-54.34,31.17,5.19
207,puerto penasco,8,MX,1532235172,83,31.32,-113.53,85.89,2.95
208,swan hill,0,AU,1532235172,80,-35.34,143.56,55.29,11.68
